content_id,source_section,source_lines,content_type,content_summary,canonical_disposition,target_issue_ids,canonical_destination,evidence_status,supervisor_confirmation_required,notes
D001,Abstract and Introduction,129-233,research_question,"Suitability rankings may diverge from operational acreage allocation",PRESERVE,"#2;#3;#9",manuscript/introduction,CANONICAL_ARCHITECTURE,NO,"Claims and novelty require Issue 3 evidence"
D002,Literature Review,234-321,literature,"Agricultural planning, CVaR, copulas, information, and recommendation literatures",REBUILD,"#3;#9",literature/,ILLUSTRATIVE_ONLY,NO,"Draft references are search leads only"
D003,Model—Setting,326-345,primitive,"Multi-crop acreage decision vector",PRESERVE,"#2;#5;#7",theory/repaired/,CANONICAL_ARCHITECTURE,NO,"Must remain multi-crop"
D004,Model—Setting,331-345,primitive,"Stochastic price and yield with deterministic per-acre cost",PRESERVE_AND_CLARIFY,"#2;#4;#5",theory/repaired/,CANONICAL_ARCHITECTURE,NO,"Units and stochastic-cost extension must be explicit"
D005,Model—Setting,338-345,objective_primitive,"Per-acre and total portfolio profit",PRESERVE,"#2;#5",theory/repaired/,CANONICAL_ARCHITECTURE,NO,"No market feedback in baseline"
D006,Model—Dependence,346-359,dependence,"Joint profit distribution represented by a copula",PRESERVE_AND_RESTRICT,"#2;#5;#6",theory/repaired/,CANONICAL_ARCHITECTURE,NO,"Specify valid multivariate family and fixed marginals"
D007,Model—Dependence,350-359,definition,"Lower-tail-dependence coefficient",REPAIR_AND_RESTRICT,"#2;#5",theory/repaired/,CANONICAL_ARCHITECTURE,NO,"Scalar coefficient does not order all copulas"
D008,Suitability,361-371,definition,"Suitability scores and strict/weak crop rankings",PRESERVE_AND_CLARIFY,"#2;#7",theory/repaired/,CANONICAL_ARCHITECTURE,NO,"Define ties and ordinal/cardinal scale"
D009,Suitability,361-371,recommendation,"Proportional score-to-acreage heuristic",RESTRICT_TO_BENCHMARK,"#2;#5;#7",optimization/src/,SYNTHETIC_CHECK_ONLY,NO,"Requires ratio-scale scores and feasibility repair"
D010,Suitability,361-371,recommendation,"Winner-take-all heuristic",RESTRICT_TO_BENCHMARK,"#2;#5;#7",optimization/src/,SYNTHETIC_CHECK_ONLY,NO,"Requires tie and feasibility rule"
D011,Risk-constrained problem,373-410,objective,"Maximize expected multi-crop profit",PRESERVE,"#2;#5",theory/repaired/,CANONICAL_ARCHITECTURE,NO,"Primary objective cannot be silently perturbed"
D012,Risk-constrained problem,378-405,risk_constraint,"CVaR downside-risk limit",REPAIR_SIGN_AND_TAIL,"#2;#5",theory/repaired/,CANONICAL_ARCHITECTURE,NO,"Use loss L=-profit"
D013,Risk-constrained problem,392-405,constraint,"Total land constraint and possible idle land",PRESERVE_AND_CLARIFY,"#2;#4;#5",theory/repaired/,CANONICAL_ARCHITECTURE,NO,"Land equality needs extra conditions"
D014,Risk-constrained problem,392-405,constraint,"Crop-specific lower and upper acreage bounds",PRESERVE,"#2;#4;#5;#7",theory/repaired/,CANONICAL_ARCHITECTURE,NO,"Sources/proxies belong to Issues 4 and 7"
D015,Risk-constrained problem,392-405,constraint,"Rotation/agronomic group caps",PRESERVE,"#2;#4;#5;#7",theory/repaired/,CANONICAL_ARCHITECTURE,NO,"Shared dual terms required"
D016,Risk-constrained problem,392-405,constraint,"Liquidity/input budget",PRESERVE,"#2;#4;#5;#7",theory/repaired/,CANONICAL_ARCHITECTURE,NO,"Budget dual omitted in Draft KKT"
D017,Risk-constrained problem,392-405,constraint,"Contractual and other operational restrictions",COMPLETE,"#2;#4;#5;#7",theory/repaired/,CANONICAL_ARCHITECTURE,YES,"Exact empirical scope requires supervisor/domain confirmation"
D018,CVaR definition,378-388,risk_definition,"Continuous profit-quantile CVaR expression",REPLACE_WITH_CORRECT_LOSS_FORM,"#2",theory/repaired/,FALSE_AS_WRITTEN,NO,"Draft integrates the favorable profit tail"
D019,LP reformulation,413-439,optimization,"Finite-scenario Rockafellar–Uryasev LP",PRESERVE_AFTER_DERIVATION,"#2;#5",optimization/src/,SYNTHETIC_CHECK_ONLY,NO,"Allow general scenario weights and free VaR auxiliary"
D020,Marginal CVaR,441-455,derivative,"Marginal crop contribution to portfolio CVaR",REPAIR_TO_SUBGRADIENT,"#2;#5",theory/repaired/,CONDITIONAL,NO,"Use 1-alpha cutoff; atoms require subgradient/duals"
D021,Ranking reversal,462-480,definition,"Pairwise and strong ranking reversal",EXPAND,"#2;#5;#7",theory/repaired/,CANONICAL_ARCHITECTURE,NO,"Add possible/universal/selected/top-rank and tolerances"
D022,KKT,482-498,optimality,"Risk-adjusted stationarity condition",REPAIR_AND_COMPLETE,"#2;#5",theory/repaired/,INCOMPLETE_AS_WRITTEN,NO,"Add budget, rotation/shared, and bound normals"
D023,Theorem 1,500-535,theorem,"If-and-only-if ranking-reversal condition",REFORMULATE,"#2",theory/repaired/,FALSE_IN_GENERAL,YES,"Replace with KKT characterization and sufficient cases"
D024,Corollary 1,537-545,corollary,"Profit-based suitability reversal",REFORMULATE,"#2",theory/repaired/,REQUIRES_REFORMULATION,NO,"Use ranking equivalence, not numerical equality"
D025,Proposition 1,554-579,proposition,"Tail dependence monotonically changes marginal-CVaR gap",RESTRICT_OR_SIMULATION_HYPOTHESIS,"#2;#5;#6",theory/repaired/,FALSE_IN_GENERAL,YES,"Named family and whole-distribution order required"
D026,Theorem 2,581-625,theorem,"Unique reversal threshold and comparative statics",REPLACE_WITH_CROSSING_SET,"#2;#5;#6",theory/repaired/,FALSE_IN_GENERAL,YES,"Allow absent, multiple, and interval crossings"
