cell_id,replications,optimal_replications,selected_reversal_probability,selected_reversal_wilson_low,selected_reversal_wilson_high,selected_reversal_wilson_width,possible_reversal_probability,universal_reversal_probability,pseudo_diversification_probability,expected_profit_mean,expected_profit_mcse,expected_profit_replication_min,expected_profit_replication_max,cvar_loss_mean,cvar_loss_mcse,cvar_loss_replication_min,cvar_loss_replication_max,allocation_Corn_mean,allocation_Corn_mcse,allocation_Corn_replication_min,allocation_Corn_replication_max,allocation_Soybean_mean,allocation_Soybean_mcse,allocation_Soybean_replication_min,allocation_Soybean_replication_max,allocation_Winter Wheat_mean,allocation_Winter Wheat_mcse,allocation_Winter Wheat_replication_min,allocation_Winter Wheat_replication_max,cell_type,copula_family,marginal_family,kendall_tau,alpha,risk_limit_frontier_quantile,budget_to_max_cost_ratio,dominant_crop_cap_share,contract_minimum_share
LHS-01-001,5,5,0.0,0.0,0.43448246478317476,0.43448246478317476,0.0,0.0,0.0,354.87429741568536,0.8210947493483524,351.9324791297069,356.97447319922026,-119.37112323540453,0.6493813716034875,-121.08664054354142,-117.35897658694498,0.6180782681368269,0.000660557416254191,0.616698376302756,0.620240606180317,0.2973077921699733,0.0006605574162541969,0.2951454541264832,0.29868768400404416,0.08461393969319983,0.0,0.08461393969319983,0.08461393969319983,lhs,gaussian,gaussian,0.41464332945773824,0.9082334652395776,0.4657453391720092,0.9252671895538156,0.7168859582485827,0.08461393969319983
LHS-01-002,5,5,0.0,0.0,0.43448246478317476,0.43448246478317476,0.0,0.0,0.0,350.15905267719256,0.715264224863168,347.5858464864657,351.9364632136188,-99.96009404219186,1.3962058894885407,-103.09917469323247,-95.07865747356763,0.5153783187149538,0.0002422517147814474,0.5147421923734968,0.516075498247541,0.38306778587739576,0.00024225171478143456,0.38237060634480863,0.3837039122188527,0.10155389540765052,0.0,0.10155389540765052,0.10155389540765052,lhs,gaussian,student_t_df5,0.42716815838081795,0.9325466287604687,0.8453226298942219,0.7685928617419023,0.693437477490574,0.10155389540765052
LHS-01-003,5,5,1.0,0.5655175352168251,1.0,0.43448246478317487,1.0,1.0,0.0,353.2897116696325,0.5370143702365402,351.36723445813453,354.35735476755684,-186.29770656336848,0.5727538988579448,-188.04826538312898,-184.9799801615385,0.41541882742529357,0.0,0.41541882742529357,0.41541882742529357,0.5052917759114143,0.0,0.5052917759114143,0.5052917759114143,0.07928939666329214,0.0,0.07928939666329214,0.07928939666329214,lhs,gaussian,empirical_resample,0.18949588867668168,0.9222721150278499,0.149623058570626,0.9072995248943927,0.41541882742529357,0.07928939666329214
LHS-01-004,5,5,1.0,0.5655175352168251,1.0,0.43448246478317487,1.0,1.0,1.0,338.66987770470837,0.5173708129512532,336.88517364558436,339.8021249315969,-131.40268379159582,0.48886992640689864,-133.08873975940259,-130.4170739298687,0.3882949711620366,0.0,0.3882949711620366,0.3882949711620366,0.4666952675103905,0.0,0.4666952675103905,0.4666952675103905,0.14500976132757287,0.0,0.14500976132757287,0.14500976132757287,lhs,gaussian,gaussian,0.11999021525050914,0.9626166791606035,0.466757680062712,0.701222785478137,0.9725841397667485,0.14500976132757287
LHS-01-005,5,5,0.0,0.0,0.43448246478317476,0.43448246478317476,0.0,0.0,0.8,358.9271199907263,0.519000130096792,357.3168806679653,360.25068254456613,-134.78103035421228,0.5969160119555408,-136.69182163168625,-133.5759342031851,0.48353505145194353,0.0,0.48353505145194353,0.48353505145194353,0.45687528934336374,0.0,0.45687528934336374,0.45687528934336374,0.05958965920469269,0.0,0.05958965920469269,0.05958965920469269,lhs,gaussian,student_t_df5,0.15802530141905927,0.9376493660800478,0.23924867679862072,0.8631352363938569,0.48353505145194353,0.05958965920469269
LHS-01-006,5,5,0.0,0.0,0.43448246478317476,0.43448246478317476,0.0,0.0,0.0,350.08046324732896,0.5777305016454511,348.0971461133265,351.40634365762213,-146.2998580865752,0.16005492436991486,-146.83321663486376,-145.92789525583436,0.5153009981639087,0.0,0.5153009981639087,0.5153009981639087,0.38898579041594594,0.0,0.38898579041594594,0.38898579041594594,0.09571321142014527,0.0,0.09571321142014527,0.09571321142014527,lhs,gaussian,empirical_resample,0.2802971334578478,0.9816979854001778,0.6616947519775082,1.0894514286852006,0.5153009981639087,0.09571321142014527
LHS-01-007,5,5,0.0,0.0,0.43448246478317476,0.43448246478317476,0.0,0.0,0.0,368.2983302380868,0.8278274896469343,365.2442897179981,370.24193854022906,-111.52094152637024,0.8615544398550119,-113.14679152310038,-108.82948839737608,0.551719397568255,1.7651076006619524e-05,0.5516487932642287,0.5517370486442618,0.4240951219759113,1.765107600660842e-05,0.42407747089990466,0.4241657262799377,0.02418548045583357,0.0,0.02418548045583357,0.02418548045583357,lhs,gaussian,gaussian,0.38465090382122014,0.9417741677839616,0.5153150878570009,0.7979427612937667,0.8033357686275563,0.02418548045583357
LHS-01-008,5,5,0.0,0.0,0.43448246478317476,0.43448246478317476,0.0,0.0,0.0,367.5294259236108,0.7581986075252881,364.8243718741879,369.441221384728,-116.1041747999521,1.1022145679760365,-118.23797616078636,-112.02295983462349,0.5811336880360817,0.0022535070246198483,0.5744675421541393,0.5878034783355394,0.39059860111396966,0.002253507024619845,0.3839288108145121,0.39726474699591213,0.02826771084994866,0.0,0.02826771084994866,0.02826771084994866,lhs,gaussian,student_t_df5,0.4657426204948747,0.9152413826234104,0.3455303426371215,0.81438421114339,0.9450546337581642,0.02826771084994866
LHS-01-009,5,5,1.0,0.5655175352168251,1.0,0.43448246478317487,1.0,1.0,1.0,358.7781053400558,0.5086517935218232,356.94867902679835,359.6442026813897,-204.2851858309902,0.6033724704060648,-206.277104175071,-202.7918510714653,0.39330909840010453,0.0,0.39330909840010453,0.39330909840010453,0.5519727076180432,0.0,0.5519727076180432,0.5519727076180432,0.05471819398185227,0.0,0.05471819398185227,0.05471819398185227,lhs,gaussian,empirical_resample,0.07528688019010969,0.9114670987694655,0.7342379127887708,1.0409304742260956,0.39330909840010453,0.05471819398185227
LHS-01-010,5,5,0.0,0.0,0.43448246478317476,0.43448246478317476,0.0,0.0,0.0,341.101078013359,0.692803990859995,338.61028757123916,342.835838337778,-95.70290626978756,1.1222050146581617,-98.3703180167988,-92.20759335905183,0.5200372850371261,0.0004018998699755933,0.5190897414357529,0.5214771742191876,0.3387316925262398,0.00040189986997558717,0.3372918033441784,0.339679236127613,0.141231022436634,0.0,0.141231022436634,0.141231022436634,lhs,gaussian,gaussian,0.21782979001236108,0.9649597510065369,0.29703542114244014,0.8805356847726815,0.6693997862044103,0.141231022436634
