cell_id,replication_seed,scenario_hash_match,classification_match,max_numeric_absolute_difference,verification_pass
ANCHOR-001,2026071901,True,True,0.0,True
ANCHOR-001,2026071902,True,True,0.0,True
ANCHOR-001,2026071903,True,True,0.0,True
ANCHOR-001,2026071904,True,True,0.0,True
ANCHOR-001,2026071905,True,True,0.0,True
ANCHOR-002,2026071901,True,True,0.0,True
ANCHOR-002,2026071902,True,True,0.0,True
ANCHOR-002,2026071903,True,True,0.0,True
ANCHOR-002,2026071904,True,True,0.0,True
ANCHOR-002,2026071905,True,True,0.0,True
ANCHOR-003,2026071901,True,True,0.0,True
ANCHOR-003,2026071902,True,True,0.0,True
ANCHOR-003,2026071903,True,True,0.0,True
ANCHOR-003,2026071904,True,True,0.0,True
ANCHOR-003,2026071905,True,True,0.0,True
ANCHOR-004,2026071901,True,True,0.0,True
ANCHOR-004,2026071902,True,True,0.0,True
ANCHOR-004,2026071903,True,True,0.0,True
ANCHOR-004,2026071904,True,True,0.0,True
ANCHOR-004,2026071905,True,True,0.0,True
ANCHOR-005,2026071901,True,True,0.0,True
ANCHOR-005,2026071902,True,True,0.0,True
ANCHOR-005,2026071903,True,True,0.0,True
ANCHOR-005,2026071904,True,True,0.0,True
ANCHOR-005,2026071905,True,True,0.0,True
ANCHOR-006,2026071901,True,True,0.0,True
ANCHOR-006,2026071902,True,True,0.0,True
ANCHOR-006,2026071903,True,True,0.0,True
ANCHOR-006,2026071904,True,True,0.0,True
ANCHOR-006,2026071905,True,True,0.0,True
ANCHOR-007,2026071901,True,True,0.0,True
ANCHOR-007,2026071902,True,True,0.0,True
ANCHOR-007,2026071903,True,True,0.0,True
ANCHOR-007,2026071904,True,True,0.0,True
ANCHOR-007,2026071905,True,True,0.0,True
ANCHOR-008,2026071901,True,True,0.0,True
ANCHOR-008,2026071902,True,True,0.0,True
ANCHOR-008,2026071903,True,True,0.0,True
ANCHOR-008,2026071904,True,True,0.0,True
ANCHOR-008,2026071905,True,True,0.0,True
ANCHOR-009,2026071901,True,True,0.0,True
ANCHOR-009,2026071902,True,True,0.0,True
ANCHOR-009,2026071903,True,True,0.0,True
ANCHOR-009,2026071904,True,True,0.0,True
ANCHOR-009,2026071905,True,True,0.0,True
ANCHOR-010,2026071901,True,True,0.0,True
ANCHOR-010,2026071902,True,True,0.0,True
ANCHOR-010,2026071903,True,True,0.0,True
ANCHOR-010,2026071904,True,True,0.0,True
ANCHOR-010,2026071905,True,True,0.0,True
ANCHOR-011,2026071901,True,True,0.0,True
ANCHOR-011,2026071902,True,True,0.0,True
ANCHOR-011,2026071903,True,True,0.0,True
ANCHOR-011,2026071904,True,True,0.0,True
ANCHOR-011,2026071905,True,True,0.0,True
ANCHOR-012,2026071901,True,True,0.0,True
