output_file,upstream_inputs,upstream_sha256,output_sha256,manual_edits
transition_panel.csv,data/processed/empirical_state_crop_analysis_panel.csv;data/processed/canonical_crop_year_panel.csv;data/processed/nass_state_crop_2022_2024.csv;empirical/outputs/discordance_detail.csv;empirical/configs/stage_ii_empirical_design.yaml,3faf6b2944009929d70ed134032491ecd79ed9e18555050e6402e9bfaa55b90f;ddaf1a2aec05966c284865897b98d09371e015f9ca61ff302b85b787dca7be76;c654314d6a5d2100855308f6f3f537982861f7e92ae3d6d603e2d4d09715bf49;b92cc64d532afd02fba660f867936ed179a74691e2e5fe8fcb6e6ba8c1ba2c5f;89cf9cda5910c6428944478032a24c8475de745a93e442ce07c7c0fd841bb3e3,5cb0eb83c7fa0e7e94a90662c639bc50b89eb58e8ceb8bdb8bc530d6a0ec5960,False
rank_transition_events.csv,data/processed/empirical_state_crop_analysis_panel.csv;data/processed/canonical_crop_year_panel.csv;data/processed/nass_state_crop_2022_2024.csv;empirical/outputs/discordance_detail.csv;empirical/configs/stage_ii_empirical_design.yaml,3faf6b2944009929d70ed134032491ecd79ed9e18555050e6402e9bfaa55b90f;ddaf1a2aec05966c284865897b98d09371e015f9ca61ff302b85b787dca7be76;c654314d6a5d2100855308f6f3f537982861f7e92ae3d6d603e2d4d09715bf49;b92cc64d532afd02fba660f867936ed179a74691e2e5fe8fcb6e6ba8c1ba2c5f;89cf9cda5910c6428944478032a24c8475de745a93e442ce07c7c0fd841bb3e3,8ec19684b91428c3abecd47e5f7e1eef84923ae3ca26e985ac78ee634fb3c7d6,False
inversion_intensity_summary.csv,data/processed/empirical_state_crop_analysis_panel.csv;data/processed/canonical_crop_year_panel.csv;data/processed/nass_state_crop_2022_2024.csv;empirical/outputs/discordance_detail.csv;empirical/configs/stage_ii_empirical_design.yaml,3faf6b2944009929d70ed134032491ecd79ed9e18555050e6402e9bfaa55b90f;ddaf1a2aec05966c284865897b98d09371e015f9ca61ff302b85b787dca7be76;c654314d6a5d2100855308f6f3f537982861f7e92ae3d6d603e2d4d09715bf49;b92cc64d532afd02fba660f867936ed179a74691e2e5fe8fcb6e6ba8c1ba2c5f;89cf9cda5910c6428944478032a24c8475de745a93e442ce07c7c0fd841bb3e3,4f35630487be3ba371f4486bcf56b0de8a0ffef6e5febb3479ac336d985d1ce9,False
transition_summary.csv,data/processed/empirical_state_crop_analysis_panel.csv;data/processed/canonical_crop_year_panel.csv;data/processed/nass_state_crop_2022_2024.csv;empirical/outputs/discordance_detail.csv;empirical/configs/stage_ii_empirical_design.yaml,3faf6b2944009929d70ed134032491ecd79ed9e18555050e6402e9bfaa55b90f;ddaf1a2aec05966c284865897b98d09371e015f9ca61ff302b85b787dca7be76;c654314d6a5d2100855308f6f3f537982861f7e92ae3d6d603e2d4d09715bf49;b92cc64d532afd02fba660f867936ed179a74691e2e5fe8fcb6e6ba8c1ba2c5f;89cf9cda5910c6428944478032a24c8475de745a93e442ce07c7c0fd841bb3e3,437b3d11643e4460a63617f9222736afefcf9d21a7a65b2e034724b5ab55f6fa,False
definition_agreement.csv,data/processed/empirical_state_crop_analysis_panel.csv;data/processed/canonical_crop_year_panel.csv;data/processed/nass_state_crop_2022_2024.csv;empirical/outputs/discordance_detail.csv;empirical/configs/stage_ii_empirical_design.yaml,3faf6b2944009929d70ed134032491ecd79ed9e18555050e6402e9bfaa55b90f;ddaf1a2aec05966c284865897b98d09371e015f9ca61ff302b85b787dca7be76;c654314d6a5d2100855308f6f3f537982861f7e92ae3d6d603e2d4d09715bf49;b92cc64d532afd02fba660f867936ed179a74691e2e5fe8fcb6e6ba8c1ba2c5f;89cf9cda5910c6428944478032a24c8475de745a93e442ce07c7c0fd841bb3e3,8159ac6cbb2a5fbd8afa13ab13e5097438bf45277bf833064d4f9ded64ba7b6c,False
state_heterogeneity.csv,data/processed/empirical_state_crop_analysis_panel.csv;data/processed/canonical_crop_year_panel.csv;data/processed/nass_state_crop_2022_2024.csv;empirical/outputs/discordance_detail.csv;empirical/configs/stage_ii_empirical_design.yaml,3faf6b2944009929d70ed134032491ecd79ed9e18555050e6402e9bfaa55b90f;ddaf1a2aec05966c284865897b98d09371e015f9ca61ff302b85b787dca7be76;c654314d6a5d2100855308f6f3f537982861f7e92ae3d6d603e2d4d09715bf49;b92cc64d532afd02fba660f867936ed179a74691e2e5fe8fcb6e6ba8c1ba2c5f;89cf9cda5910c6428944478032a24c8475de745a93e442ce07c7c0fd841bb3e3,077aca7ad1b0fef9d01055b2a5c47068542747afd508157b60c7682e54492c00,False
year_heterogeneity.csv,data/processed/empirical_state_crop_analysis_panel.csv;data/processed/canonical_crop_year_panel.csv;data/processed/nass_state_crop_2022_2024.csv;empirical/outputs/discordance_detail.csv;empirical/configs/stage_ii_empirical_design.yaml,3faf6b2944009929d70ed134032491ecd79ed9e18555050e6402e9bfaa55b90f;ddaf1a2aec05966c284865897b98d09371e015f9ca61ff302b85b787dca7be76;c654314d6a5d2100855308f6f3f537982861f7e92ae3d6d603e2d4d09715bf49;b92cc64d532afd02fba660f867936ed179a74691e2e5fe8fcb6e6ba8c1ba2c5f;89cf9cda5910c6428944478032a24c8475de745a93e442ce07c7c0fd841bb3e3,9c67b05b510c9b7f468a78408cf72f58eedaa868d35efaab63cab3fd84acf2f9,False
leave_one_state_out.csv,data/processed/empirical_state_crop_analysis_panel.csv;data/processed/canonical_crop_year_panel.csv;data/processed/nass_state_crop_2022_2024.csv;empirical/outputs/discordance_detail.csv;empirical/configs/stage_ii_empirical_design.yaml,3faf6b2944009929d70ed134032491ecd79ed9e18555050e6402e9bfaa55b90f;ddaf1a2aec05966c284865897b98d09371e015f9ca61ff302b85b787dca7be76;c654314d6a5d2100855308f6f3f537982861f7e92ae3d6d603e2d4d09715bf49;b92cc64d532afd02fba660f867936ed179a74691e2e5fe8fcb6e6ba8c1ba2c5f;89cf9cda5910c6428944478032a24c8475de745a93e442ce07c7c0fd841bb3e3,241f845fb7e0b9727163aac853e86862bb333558b75c30f62923d0d6665c3342,False
inertia_association.csv,data/processed/empirical_state_crop_analysis_panel.csv;data/processed/canonical_crop_year_panel.csv;data/processed/nass_state_crop_2022_2024.csv;empirical/outputs/discordance_detail.csv;empirical/configs/stage_ii_empirical_design.yaml,3faf6b2944009929d70ed134032491ecd79ed9e18555050e6402e9bfaa55b90f;ddaf1a2aec05966c284865897b98d09371e015f9ca61ff302b85b787dca7be76;c654314d6a5d2100855308f6f3f537982861f7e92ae3d6d603e2d4d09715bf49;b92cc64d532afd02fba660f867936ed179a74691e2e5fe8fcb6e6ba8c1ba2c5f;89cf9cda5910c6428944478032a24c8475de745a93e442ce07c7c0fd841bb3e3,5ca7d0a9b7a4002472eb3d239629da73e85e8663156d758dff1f6d8970729f6b,False
national_definition_detail.csv,data/processed/empirical_state_crop_analysis_panel.csv;data/processed/canonical_crop_year_panel.csv;data/processed/nass_state_crop_2022_2024.csv;empirical/outputs/discordance_detail.csv;empirical/configs/stage_ii_empirical_design.yaml,3faf6b2944009929d70ed134032491ecd79ed9e18555050e6402e9bfaa55b90f;ddaf1a2aec05966c284865897b98d09371e015f9ca61ff302b85b787dca7be76;c654314d6a5d2100855308f6f3f537982861f7e92ae3d6d603e2d4d09715bf49;b92cc64d532afd02fba660f867936ed179a74691e2e5fe8fcb6e6ba8c1ba2c5f;89cf9cda5910c6428944478032a24c8475de745a93e442ce07c7c0fd841bb3e3,a72a154cc1ba2a0dbe1dbc6076ee9f21647f24bf9b798e5ddc509a26cb35e985,False
aggregation_summary.csv,data/processed/empirical_state_crop_analysis_panel.csv;data/processed/canonical_crop_year_panel.csv;data/processed/nass_state_crop_2022_2024.csv;empirical/outputs/discordance_detail.csv;empirical/configs/stage_ii_empirical_design.yaml,3faf6b2944009929d70ed134032491ecd79ed9e18555050e6402e9bfaa55b90f;ddaf1a2aec05966c284865897b98d09371e015f9ca61ff302b85b787dca7be76;c654314d6a5d2100855308f6f3f537982861f7e92ae3d6d603e2d4d09715bf49;b92cc64d532afd02fba660f867936ed179a74691e2e5fe8fcb6e6ba8c1ba2c5f;89cf9cda5910c6428944478032a24c8475de745a93e442ce07c7c0fd841bb3e3,a2f189ec6a9f0d11a53503f3d03ae3b4aceafd319ae1a1a0ae9b70cd276440c7,False
observed_model_unidentified.csv,data/processed/empirical_state_crop_analysis_panel.csv;data/processed/canonical_crop_year_panel.csv;data/processed/nass_state_crop_2022_2024.csv;empirical/outputs/discordance_detail.csv;empirical/configs/stage_ii_empirical_design.yaml,3faf6b2944009929d70ed134032491ecd79ed9e18555050e6402e9bfaa55b90f;ddaf1a2aec05966c284865897b98d09371e015f9ca61ff302b85b787dca7be76;c654314d6a5d2100855308f6f3f537982861f7e92ae3d6d603e2d4d09715bf49;b92cc64d532afd02fba660f867936ed179a74691e2e5fe8fcb6e6ba8c1ba2c5f;89cf9cda5910c6428944478032a24c8475de745a93e442ce07c7c0fd841bb3e3,0726c98716c614df59b2e97e86ccdb6d7d939b964fa643580b62485db756c80c,False
claim_boundaries.csv,data/processed/empirical_state_crop_analysis_panel.csv;data/processed/canonical_crop_year_panel.csv;data/processed/nass_state_crop_2022_2024.csv;empirical/outputs/discordance_detail.csv;empirical/configs/stage_ii_empirical_design.yaml,3faf6b2944009929d70ed134032491ecd79ed9e18555050e6402e9bfaa55b90f;ddaf1a2aec05966c284865897b98d09371e015f9ca61ff302b85b787dca7be76;c654314d6a5d2100855308f6f3f537982861f7e92ae3d6d603e2d4d09715bf49;b92cc64d532afd02fba660f867936ed179a74691e2e5fe8fcb6e6ba8c1ba2c5f;89cf9cda5910c6428944478032a24c8475de745a93e442ce07c7c0fd841bb3e3,def442f57ac5178bb28388820001429269a1108250470f334eed4b3dcff7bd18,False
main_results_table.csv,data/processed/empirical_state_crop_analysis_panel.csv;data/processed/canonical_crop_year_panel.csv;data/processed/nass_state_crop_2022_2024.csv;empirical/outputs/discordance_detail.csv;empirical/configs/stage_ii_empirical_design.yaml,3faf6b2944009929d70ed134032491ecd79ed9e18555050e6402e9bfaa55b90f;ddaf1a2aec05966c284865897b98d09371e015f9ca61ff302b85b787dca7be76;c654314d6a5d2100855308f6f3f537982861f7e92ae3d6d603e2d4d09715bf49;b92cc64d532afd02fba660f867936ed179a74691e2e5fe8fcb6e6ba8c1ba2c5f;89cf9cda5910c6428944478032a24c8475de745a93e442ce07c7c0fd841bb3e3,e7e8b4dbc358140f8406278877902c0826dae6ca0d1ddc7d49c7163c3777a8d3,False
robustness_table.csv,data/processed/empirical_state_crop_analysis_panel.csv;data/processed/canonical_crop_year_panel.csv;data/processed/nass_state_crop_2022_2024.csv;empirical/outputs/discordance_detail.csv;empirical/configs/stage_ii_empirical_design.yaml,3faf6b2944009929d70ed134032491ecd79ed9e18555050e6402e9bfaa55b90f;ddaf1a2aec05966c284865897b98d09371e015f9ca61ff302b85b787dca7be76;c654314d6a5d2100855308f6f3f537982861f7e92ae3d6d603e2d4d09715bf49;b92cc64d532afd02fba660f867936ed179a74691e2e5fe8fcb6e6ba8c1ba2c5f;89cf9cda5910c6428944478032a24c8475de745a93e442ce07c7c0fd841bb3e3,b907dc3d7e656aa84072fbab6528201a7b4be8b8a2fe7bcd6ca8ffe7ec3f3fd2,False
