result_family,ranking_definition,estimand,estimate,ci_low,ci_high,state_clusters,observations,identification_status
CONCURRENT,operating_margin,inversion_intensity,0.597402597403,0.493506493506,0.696581196581,26,77,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
CONCURRENT,operating_margin,top_rank_reversal_rate,0.818181818182,0.714285714286,0.92,26,77,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
CONCURRENT,relative_yield,inversion_intensity,0.705627705628,0.605263157895,0.794888888889,26,77,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
CONCURRENT,relative_yield,top_rank_reversal_rate,0.87012987013,0.75641025641,0.961038961039,26,77,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
CONCURRENT,standardized_revenue,inversion_intensity,0.350649350649,0.264957264957,0.437229437229,26,77,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
CONCURRENT,standardized_revenue,top_rank_reversal_rate,0.623376623377,0.434210526316,0.794871794872,26,77,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
CONCURRENT,total_cost_margin,inversion_intensity,0.679653679654,0.580086580087,0.767543859649,26,77,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
CONCURRENT,total_cost_margin,top_rank_reversal_rate,0.844155844156,0.714285714286,0.948051948052,26,77,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
LAGGED_TRANSITION,operating_margin,lagged_inversion_intensity,0.601307189542,0.474358974359,0.724358974359,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
LAGGED_TRANSITION,operating_margin,lagged_top_match_rate,0.235294117647,0.102040816327,0.38,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
LAGGED_TRANSITION,operating_margin,lagged_top_minus_other_share_change,0.00890707091435,-0.00178530842961,0.0212822946675,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
LAGGED_TRANSITION,operating_margin,acreage_top_change_rate,0.0980392156863,0,0.22,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
LAGGED_TRANSITION,relative_yield,lagged_inversion_intensity,0.705882352941,0.589743589744,0.81045751634,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
LAGGED_TRANSITION,relative_yield,lagged_top_match_rate,0.117647058824,0.0196078431373,0.25,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
LAGGED_TRANSITION,relative_yield,lagged_top_minus_other_share_change,-0.00468057080751,-0.0130948742937,0.00516871597169,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
LAGGED_TRANSITION,relative_yield,acreage_top_change_rate,0.0980392156863,0,0.21568627451,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
LAGGED_TRANSITION,standardized_revenue,lagged_inversion_intensity,0.385620915033,0.294871794872,0.477124183007,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
LAGGED_TRANSITION,standardized_revenue,lagged_top_match_rate,0.372549019608,0.192307692308,0.557692307692,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
LAGGED_TRANSITION,standardized_revenue,lagged_top_minus_other_share_change,0.00501722145874,-0.0015153676457,0.0114378665561,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
LAGGED_TRANSITION,standardized_revenue,acreage_top_change_rate,0.0980392156863,0,0.21568627451,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
LAGGED_TRANSITION,total_cost_margin,lagged_inversion_intensity,0.653594771242,0.542483660131,0.751633986928,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
LAGGED_TRANSITION,total_cost_margin,lagged_top_match_rate,0.156862745098,0.0416666666667,0.28,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
LAGGED_TRANSITION,total_cost_margin,lagged_top_minus_other_share_change,0.00165032834016,-0.008634437956,0.0147178220195,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
LAGGED_TRANSITION,total_cost_margin,acreage_top_change_rate,0.0980392156863,0,0.21568627451,26,51,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
