number_id,displayed_value,unit,manuscript_location,claim_id,output_file,output_field,generating_script,generation_command,config_file,source_dataset_ids,parameter_ids,random_seed,verification_status,checksum,last_verified_date,notes
NUM-SIM-001,90,design cells,Methods-design,SIM-C01,simulation/configs/experiment_design.yaml,72 LHS plus 18 anchors,simulation/src/crop_simulation/experiment_design.py,python scripts/validate_simulation_design.py,simulation/configs/experiment_design.yaml,,P-SIM-001 through P-SIM-010,20260719,VERIFIED_DESIGN_ONLY,4b5897f5d225af6334e3082ce8d9f065cdd7067f2664f3ef63426b5597055b27,2026-07-19,Not a scientific result
NUM-SIM-002,450,formal primary solves,Methods-computation,SIM-C01,simulation/configs/experiment_design.yaml,90 cells times 5 replications,simulation/src/crop_simulation/experiment_design.py,python scripts/validate_simulation_design.py,simulation/configs/experiment_design.yaml,,P-SIM-003;P-SIM-004,2026071901-2026071905,VERIFIED_RESOURCE_PLAN,4b5897f5d225af6334e3082ce8d9f065cdd7067f2664f3ef63426b5597055b27,2026-07-19,Planned count before formal run
NUM-SIM-003,3,dry-run cells,Not manuscript admissible,SIM-C08,simulation/dry_run/summary.json,cells,scripts/run_experiment_dry_run.py,python scripts/run_experiment_dry_run.py,simulation/configs/experiment_design.yaml,DATA-ERS-CORN-CCR;DATA-ERS-SOYBEANS-CCR;DATA-ERS-WHEAT-CCR,P-SIM-004,2026071901-2026071903,DRY_RUN_ONLY,9c078967900f6c15094164943319a4dbd9dec050dc817b07b370ab7dd97db3a8,2026-07-19,Manuscript admissible NO
NUM-SIM-004,450,formal primary replications,Methods-computation,SIM-R01,simulation/outputs/summary.json,formal_replications,scripts/run_formal_simulation.py,python scripts/run_formal_simulation.py --workers 4,simulation/configs/formal_run_protocol.yaml,DATA-ERS-CORN-CCR;DATA-ERS-SOYBEANS-CCR;DATA-ERS-WHEAT-CCR,P-SIM-003;P-SIM-004,2026071901-2026071905,FORMAL_VERIFIED_NONHEADLINE,a412f49f97bb29fba36d8e55ca52f52be1f33995e6872f55c2775809b7c48a30,2026-07-19,All 450 optimal; convergence gate failed
NUM-SIM-005,150,universal-reversal replications,Supplementary sensitivity,SIM-R02,simulation/outputs/summary.json,universal_reversal_replications,scripts/run_formal_simulation.py,python scripts/run_formal_simulation.py --workers 4,simulation/configs/formal_run_protocol.yaml,DATA-ERS-CORN-CCR;DATA-ERS-SOYBEANS-CCR;DATA-ERS-WHEAT-CCR,P-SIM-001 through P-SIM-011,2026071901-2026071905,FORMAL_RESULT_NONHEADLINE,a412f49f97bb29fba36d8e55ca52f52be1f33995e6872f55c2775809b7c48a30,2026-07-19,30 of 90 cells and no mixed replication classifications
NUM-SIM-006,245,risk-binding replications,Supplementary mechanism audit,SIM-R03,simulation/outputs/summary.json,risk_binding_replications,scripts/run_formal_simulation.py,python scripts/run_formal_simulation.py --workers 4,simulation/configs/formal_run_protocol.yaml,DATA-ERS-CORN-CCR;DATA-ERS-SOYBEANS-CCR;DATA-ERS-WHEAT-CCR,P-SIM-001;P-SIM-002,2026071901-2026071905,FORMAL_RESULT_NONHEADLINE,a412f49f97bb29fba36d8e55ca52f52be1f33995e6872f55c2775809b7c48a30,2026-07-19,205 replications are risk-slack
NUM-SIM-007,450,independent replay passes,Methods-reproducibility,SIM-R05,simulation/outputs/independent_replay.csv,verification_pass,scripts/run_formal_simulation.py,python scripts/run_formal_simulation.py --workers 4,simulation/configs/formal_run_protocol.yaml,,P-SIM-003;P-SIM-004,2026071901-2026071905,REPRODUCIBILITY_VERIFIED,f79d1c42f69aecbb78d80203f955cb74fe210bdccac078257f8c9d7cf27d195c,2026-07-19,Reverse design and seed order
NUM-SIM-008,0 of 5,convergence rows passing,Supplementary convergence audit,SIM-R06,simulation/outputs/convergence_summary.csv,convergence_pass,scripts/run_formal_simulation.py,python scripts/run_formal_simulation.py --workers 4,simulation/configs/formal_run_protocol.yaml,,P-SIM-003;P-SIM-004,2026071951-2026071960,ADVERSE_RESULT_VERIFIED,7a1d577ae45801dff5d6b567bc7504087023348d48e9a7387fd614acba81f4f0,2026-07-19,Forces headline_admissible false
NUM-SIM-009,0.2404352,GB peak RSS,Methods-resource audit,SIM-R05,simulation/outputs/resource_audit.json,maximum_peak_rss_gb,scripts/audit_simulation_resources.py,python scripts/audit_simulation_resources.py,simulation/configs/experiment_design.yaml,,P-SIM-003,2026071901,RESOURCE_CAP_VERIFIED,9c8f9b4d5f560c07ce451f5bde6179a308a803516d237e856d6bb6cda17ad780,2026-07-19,Below frozen 0.5 GB per-solve cap
NUM-EMP-001,77,complete state-years,Methods-sample,EMP-C01,empirical/outputs/summary.json,complete_state_years,scripts/run_empirical_analysis.py,python scripts/run_empirical_analysis.py,empirical/configs/empirical_design.yaml,DATA-NASS-CROPAN25,P-EMP-001 through P-EMP-003,,EMPIRICAL_VERIFIED,7e790ea71e4fae018d5766e57e6bd064e7df89c19f7dae9dc8df1545710118b0,2026-07-19,"231 crop rows across 26 states; complete-case selected sample"
NUM-EMP-002,63 of 77,operating-margin top-rank discordances,Results-descriptive,EMP-C02,empirical/outputs/definition_summary.csv,top_rank_reversal_rate,scripts/run_empirical_analysis.py,python scripts/run_empirical_analysis.py,empirical/configs/empirical_design.yaml,"DATA-NASS-CROPAN25;DATA-ERS-CORN-CCR;DATA-ERS-SOYBEANS-CCR;DATA-ERS-WHEAT-CCR;DATA-BLS-CPI-U",P-EMP-004;P-EMP-005,,DESCRIPTIVE_EMPIRICAL,6c3182ef1ea1b7ade1fc2a170f574c73591ec7b1d07950b6537a20114ce4fd48,2026-07-19,"Rate 0.818; observed acreage not an optimum"
NUM-EMP-003,41 of 77,operating-margin strong discordances,Results-descriptive,EMP-C02,empirical/outputs/definition_summary.csv,strong_reversal_rate,scripts/run_empirical_analysis.py,python scripts/run_empirical_analysis.py,empirical/configs/empirical_design.yaml,"DATA-NASS-CROPAN25;DATA-ERS-CORN-CCR;DATA-ERS-SOYBEANS-CCR;DATA-ERS-WHEAT-CCR;DATA-BLS-CPI-U",P-EMP-004;P-EMP-005,,DESCRIPTIVE_EMPIRICAL,6c3182ef1ea1b7ade1fc2a170f574c73591ec7b1d07950b6537a20114ce4fd48,2026-07-19,"Rate 0.532; aggregate selected-sample description"
