figure_id,grayscale,deuteranopia,protanopia,width_183mm,width_89mm,width_px,height_px,visual_qa_status
Figure1,visualization/stage_ii/qa/Figure1_grayscale.png,visualization/stage_ii/qa/Figure1_deuteranopia.png,visualization/stage_ii/qa/Figure1_protanopia.png,visualization/stage_ii/qa/Figure1_183mm.png,visualization/stage_ii/qa/Figure1_89mm.png,2161,1511,PASS_CODEX_VISUAL_INSPECTION_2026-07-22
Figure2,visualization/stage_ii/qa/Figure2_grayscale.png,visualization/stage_ii/qa/Figure2_deuteranopia.png,visualization/stage_ii/qa/Figure2_protanopia.png,visualization/stage_ii/qa/Figure2_183mm.png,visualization/stage_ii/qa/Figure2_89mm.png,2161,1511,PASS_CODEX_VISUAL_INSPECTION_2026-07-22
Figure3,visualization/stage_ii/qa/Figure3_grayscale.png,visualization/stage_ii/qa/Figure3_deuteranopia.png,visualization/stage_ii/qa/Figure3_protanopia.png,visualization/stage_ii/qa/Figure3_183mm.png,visualization/stage_ii/qa/Figure3_89mm.png,2161,1712,PASS_CODEX_VISUAL_INSPECTION_2026-07-22
Figure4,visualization/stage_ii/qa/Figure4_grayscale.png,visualization/stage_ii/qa/Figure4_deuteranopia.png,visualization/stage_ii/qa/Figure4_protanopia.png,visualization/stage_ii/qa/Figure4_183mm.png,visualization/stage_ii/qa/Figure4_89mm.png,2161,1712,PASS_CODEX_VISUAL_INSPECTION_2026-07-22
Figure5,visualization/stage_ii/qa/Figure5_grayscale.png,visualization/stage_ii/qa/Figure5_deuteranopia.png,visualization/stage_ii/qa/Figure5_protanopia.png,visualization/stage_ii/qa/Figure5_183mm.png,visualization/stage_ii/qa/Figure5_89mm.png,2161,1712,PASS_CODEX_VISUAL_INSPECTION_2026-07-22
Figure6,visualization/stage_ii/qa/Figure6_grayscale.png,visualization/stage_ii/qa/Figure6_deuteranopia.png,visualization/stage_ii/qa/Figure6_protanopia.png,visualization/stage_ii/qa/Figure6_183mm.png,visualization/stage_ii/qa/Figure6_89mm.png,2161,1771,PASS_CODEX_VISUAL_INSPECTION_2026-07-22
FigureS1,visualization/stage_ii/qa/FigureS1_grayscale.png,visualization/stage_ii/qa/FigureS1_deuteranopia.png,visualization/stage_ii/qa/FigureS1_protanopia.png,visualization/stage_ii/qa/FigureS1_183mm.png,visualization/stage_ii/qa/FigureS1_89mm.png,2161,1393,PASS_CODEX_VISUAL_INSPECTION_2026-07-22
FigureS2,visualization/stage_ii/qa/FigureS2_grayscale.png,visualization/stage_ii/qa/FigureS2_deuteranopia.png,visualization/stage_ii/qa/FigureS2_protanopia.png,visualization/stage_ii/qa/FigureS2_183mm.png,visualization/stage_ii/qa/FigureS2_89mm.png,2161,1629,PASS_CODEX_VISUAL_INSPECTION_2026-07-22
FigureS3,visualization/stage_ii/qa/FigureS3_grayscale.png,visualization/stage_ii/qa/FigureS3_deuteranopia.png,visualization/stage_ii/qa/FigureS3_protanopia.png,visualization/stage_ii/qa/FigureS3_183mm.png,visualization/stage_ii/qa/FigureS3_89mm.png,2161,1322,PASS_CODEX_VISUAL_INSPECTION_2026-07-22
FigureS4,visualization/stage_ii/qa/FigureS4_grayscale.png,visualization/stage_ii/qa/FigureS4_deuteranopia.png,visualization/stage_ii/qa/FigureS4_protanopia.png,visualization/stage_ii/qa/FigureS4_183mm.png,visualization/stage_ii/qa/FigureS4_89mm.png,2161,1511,PASS_CODEX_VISUAL_INSPECTION_2026-07-22
FigureS5,visualization/stage_ii/qa/FigureS5_grayscale.png,visualization/stage_ii/qa/FigureS5_deuteranopia.png,visualization/stage_ii/qa/FigureS5_protanopia.png,visualization/stage_ii/qa/FigureS5_183mm.png,visualization/stage_ii/qa/FigureS5_89mm.png,2161,1511,PASS_CODEX_VISUAL_INSPECTION_2026-07-22
