ranking_definition,omitted_year,state_years,mean_pairwise_inversions,top_rank_reversal_rate,strong_reversal_rate
operating_margin,2022,51,1.86274509804,0.862745098039,0.607843137255
operating_margin,2023,51,1.64705882353,0.78431372549,0.450980392157
operating_margin,2024,52,1.86538461538,0.807692307692,0.538461538462
relative_yield,2022,51,2.11764705882,0.843137254902,0.803921568627
relative_yield,2023,51,2.11764705882,0.882352941176,0.823529411765
relative_yield,2024,52,2.11538461538,0.884615384615,0.826923076923
standardized_revenue,2022,51,0.921568627451,0.607843137255,0.0392156862745
standardized_revenue,2023,51,1.03921568627,0.627450980392,0.0392156862745
standardized_revenue,2024,52,1.19230769231,0.634615384615,0.0384615384615
total_cost_margin,2022,51,2.11764705882,0.862745098039,0.803921568627
total_cost_margin,2023,51,1.98039215686,0.823529411765,0.764705882353
total_cost_margin,2024,52,2.01923076923,0.846153846154,0.769230769231
