state,year,ranking_definition,pairwise_inversions,pairwise_ties,inversion_distance,top_rank_reversal,strong_reversal,top_score_crops,top_acreage_crops,observed_share_operating_margin_value,equal_share_operating_margin_value,score_top_operating_margin_value,observed_minus_equal_value,observed_minus_score_top_value,permutation_expected_inversions,permutation_expected_top_reversal,claim_level
Alabama,2022,relative_yield,2,0,0.6666666666666666,True,True,winter_wheat,soybeans,330.5533832228572,353.78954820000007,492.42917493,-23.23616497714289,-161.8757917071428,1.5,0.6666666666666666,DESCRIPTIVE_ACCOUNTING_NOT_CAUSAL
Alabama,2023,relative_yield,3,0,1.0,True,True,winter_wheat,soybeans,333.62478034576276,343.6728842,405.95046840000003,-10.04810385423724,-72.32568805423728,1.5,0.6666666666666666,DESCRIPTIVE_ACCOUNTING_NOT_CAUSAL
Alabama,2024,relative_yield,3,0,1.0,True,True,winter_wheat,soybeans,70.31675675675675,104.38666666666666,239.21999999999997,-34.06990990990991,-168.90324324324322,1.5,0.6666666666666666,DESCRIPTIVE_ACCOUNTING_NOT_CAUSAL
Arkansas,2022,relative_yield,2,0,0.6666666666666666,True,True,winter_wheat,soybeans,487.69869424927015,473.38913754000004,310.15717128,14.309556709270112,177.54152296927015,1.5,0.6666666666666666,DESCRIPTIVE_ACCOUNTING_NOT_CAUSAL
Arkansas,2023,relative_yield,2,0,0.6666666666666666,True,True,winter_wheat,soybeans,423.3335168320197,377.43002524999997,266.5980252,45.90349158201974,156.73549163201972,1.5,0.6666666666666666,DESCRIPTIVE_ACCOUNTING_NOT_CAUSAL
Arkansas,2024,relative_yield,1,0,0.3333333333333333,False,False,soybeans,soybeans,297.6583152173913,255.29666666666665,302.04,42.36164855072465,-4.3816847826087155,1.5,0.6666666666666666,DESCRIPTIVE_ACCOUNTING_NOT_CAUSAL
Delaware,2022,relative_yield,2,1,0.6666666666666666,True,True,winter_wheat,corn;soybeans,489.7752173820001,496.61305254000007,530.8022283299999,-6.837835157999962,-41.02701094799983,1.5,0.6666666666666666,DESCRIPTIVE_ACCOUNTING_NOT_CAUSAL
Delaware,2023,relative_yield,2,0,0.6666666666666666,True,True,winter_wheat,corn,427.78135471851846,442.87845405,537.5611091999999,-15.097099331481559,-109.77975448148146,1.5,0.6666666666666666,DESCRIPTIVE_ACCOUNTING_NOT_CAUSAL
Delaware,2024,relative_yield,2,0,0.6666666666666666,True,True,winter_wheat,corn,227.86679487179484,230.60333333333332,244.76,-2.736538461538487,-16.893205128205153,1.5,0.6666666666666666,DESCRIPTIVE_ACCOUNTING_NOT_CAUSAL
Georgia,2022,relative_yield,1,0,0.3333333333333333,True,False,winter_wheat,corn,507.1735438528846,440.98998966,358.1234880299999,66.18355419288463,149.0500558228847,1.5,0.6666666666666666,DESCRIPTIVE_ACCOUNTING_NOT_CAUSAL
Georgia,2023,relative_yield,1,0,0.3333333333333333,True,False,winter_wheat,corn,336.9053027232143,308.9445862,251.11442039999997,27.960716523214273,85.7908823232143,1.5,0.6666666666666666,DESCRIPTIVE_ACCOUNTING_NOT_CAUSAL
Georgia,2024,relative_yield,3,0,1.0,True,True,winter_wheat,corn,206.6255797101449,202.62333333333333,172.74,4.00224637681157,33.885579710144896,1.5,0.6666666666666666,DESCRIPTIVE_ACCOUNTING_NOT_CAUSAL
