design_id,design_sha256,replication_seed,model_stage,metric,value,path_increment,model_content
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,M0,allocation_Corn,1.0,0.0,RAW_ORDINAL_TOP_CROP_RECOMMENDATION
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,M0,allocation_Soybean,0.0,0.0,RAW_ORDINAL_TOP_CROP_RECOMMENDATION
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,M0,allocation_Winter_Wheat,0.0,0.0,RAW_ORDINAL_TOP_CROP_RECOMMENDATION
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,M0,cvar_loss,18.87583508271345,0.0,RAW_ORDINAL_TOP_CROP_RECOMMENDATION
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,M0,expected_profit,375.6009546945588,0.0,RAW_ORDINAL_TOP_CROP_RECOMMENDATION
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,M0,hhi,1.0,0.0,RAW_ORDINAL_TOP_CROP_RECOMMENDATION
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,M1,allocation_Corn,1.0,0.0,CARDINAL_MARGINS
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,M1,allocation_Soybean,0.0,0.0,CARDINAL_MARGINS
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,M1,allocation_Winter_Wheat,0.0,0.0,CARDINAL_MARGINS
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,M1,cvar_loss,18.87583508271345,0.0,CARDINAL_MARGINS
