design_id,design_sha256,replication_seed,attribution_type,order_id,step,block,metric,contribution,efficiency_residual
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,1.0,margins,allocation_Corn,0.0,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,1.0,margins,allocation_Soybean,0.0,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,1.0,margins,allocation_Winter_Wheat,0.0,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,1.0,margins,cvar_loss,0.0,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,1.0,margins,expected_profit,0.0,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,1.0,margins,hhi,0.0,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,2.0,operations,allocation_Corn,-0.6823547880690739,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,2.0,operations,allocation_Soybean,0.6823547880690739,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,2.0,operations,allocation_Winter_Wheat,0.0,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,2.0,operations,cvar_loss,-131.46770103776953,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,2.0,operations,expected_profit,-5.869631174130745,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,2.0,operations,hhi,-0.4334934625365663,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,3.0,risk,allocation_Corn,0.0,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,3.0,risk,allocation_Soybean,0.0,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,3.0,risk,allocation_Winter_Wheat,0.0,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,3.0,risk,cvar_loss,0.0,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,3.0,risk,expected_profit,0.0,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,3.0,risk,hhi,0.0,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,4.0,dependence,allocation_Corn,0.0,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,4.0,dependence,allocation_Soybean,0.0,0.0
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607227001,ORDER_PATH,ORDER-01-margins-operations-risk-dependence,4.0,dependence,allocation_Winter_Wheat,0.0,0.0
