result_id,result_type,original_title,source_section,source_equations,exact_claim_summary,assumptions_explicit,assumptions_implicit,proof_method_claimed,proof_dependencies,numerical_or_theoretical,audit_priority,current_status,notes,minimal_repair,proof_artifact,simulation_requirement,empirical_requirement
R01,definition,Suitability score induces a crop ranking,Definition 1,,Suitability score induces a crop ranking,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/verified/verified_results.md,THEORETICAL,P1,VALID_AFTER_NOTATIONAL_REPAIR,Ties and ordinal/cardinal status are unspecified,Define a strict weak order with tie classes,theory/proofs/verified/verified_results.md,none,Document score construction and tie rule
R02,definition,Ranking reversal is xi<xj when si>sj,Definition 2,,Ranking reversal is xi<xj when si>sj,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/conditional/conditional_results.md,THEORETICAL,P0,REQUIRES_REFORMULATION,An LP can have multiple optimizers and numerical strictness needs tolerance,Tag possible/universal/selected reversal and use tau_x,theory/proofs/conditional/conditional_results.md,Audit optimal face and tie breakers,Report score and acreage uncertainty
R03,risk identity,Negative upper-profit-tail integral equals loss CVaR,Eq. 6,Eq. 6,Negative upper-profit-tail integral equals loss CVaR,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/counterexamples/counterexamples.md,THEORETICAL,P0,FALSE_IN_GENERAL,It averages the best profit tail rather than worst losses,Use RU loss definition or lower-profit-tail integral,theory/proofs/counterexamples/counterexamples.md,Unit test asymmetric profit vector,none
R04,optimization formulation,Finite equal-weight CVaR LP,Eq. 8,Eq. 8,Finite equal-weight CVaR LP,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/verified/verified_results.md,THEORETICAL,P1,VALID_AFTER_NOTATIONAL_REPAIR,LP inequalities are correct but disconnected from erroneous continuous definition,State L=-Pi; w_s=1/S; v free,theory/proofs/verified/verified_results.md,Evaluator-solver sign consistency test,none
R05,derivative identity,Marginal CVaR equals negative conditional mean below profit alpha-quantile,Eq. 9,Eq. 9,Marginal CVaR equals negative conditional mean below profit alpha-quantile,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/conditional/conditional_results.md,THEORETICAL,P1,VALID_WITH_ADDITIONAL_ASSUMPTIONS,Profit cutoff is 1-alpha and atoms yield subgradients,Use cutoff F_Pi^-1(1-alpha); assume no VaR atom or use LP dual,theory/proofs/conditional/conditional_results.md,Atom and no-atom checks,none
R06,KKT claim,Displayed KKT stationarity is complete,Sec. 4.2,,Displayed KKT stationarity is complete,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/conditional/conditional_results.md,THEORETICAL,P0,REQUIRES_REFORMULATION,Budget; rotations; group constraints are omitted and bound signs are unclear,Use full normal-cone/subgradient KKT system,theory/proofs/conditional/conditional_results.md,Compare solver duals by active set,none
R07,theorem,KKT inequality is iff acreage ranking reversal,Theorem 1,,KKT inequality is iff acreage ranking reversal,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/counterexamples/counterexamples.md,THEORETICAL,P0,FALSE_IN_GENERAL,Stationarity prices marginal directions; it does not order levels and multiple optima/constraints break iff,Replace by optimality characterization; add separate feasibility-forced proposition,theory/proofs/counterexamples/counterexamples.md,Multiple-optimum and bound-forced cases,Estimate only after full constraint model
R08,corollary,Profit-based suitability corollary inherits reversal threshold,Corollary 1,,Profit-based suitability corollary inherits reversal threshold,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/conditional/conditional_results.md,THEORETICAL,P0,REQUIRES_REFORMULATION,It inherits R07 and equates a score to monetary mean profit,Assume ranking equivalence rather than numeric equality,theory/proofs/conditional/conditional_results.md,Same tests as R07,Test rank concordance instead of equality
R09,proposition,Tail-dependence coefficient monotonically raises marginal-CVaR gap,Proposition 1,,Tail-dependence coefficient monotonically raises marginal-CVaR gap,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/counterexamples/counterexamples.md,THEORETICAL,P0,FALSE_IN_GENERAL,lambda_L does not identify/order copulas; moment ordering is insufficient,Restrict to a named family and prove/order or label numerical,theory/proofs/counterexamples/counterexamples.md,Same-lambda different-CVaR check; family sweeps,Fit family-specific dependence with uncertainty
R10,theorem,A unique reversal threshold exists in (0;1),Theorem 2,,A unique reversal threshold exists in (0;1),See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/counterexamples/counterexamples.md,THEORETICAL,P0,FALSE_IN_GENERAL,No continuity; endpoint crossing; strict monotonicity; unique optimum; or stable active set is established,State a conditional crossing lemma; allow none/multiple/interval thresholds,theory/proofs/counterexamples/counterexamples.md,Parameter grid plus adaptive root/basis audit,Uncertainty interval for any estimated crossing
