state,year,ranking_definition,kendall_tau_b,spearman_rho,spearman_valid,pairwise_inversions,pairwise_ties,inversion_intensity,top_rank_disagreement,score_leader_unique,acreage_leader_unique,score_leaders,acreage_leaders,score_top_second_gap,claim_level
Alabama,2016,relative_yield,-1,-1,True,3,0,1,True,True,True,winter_wheat,soybeans,0.578537561442,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
Alabama,2017,relative_yield,-1,-1,True,3,0,1,True,True,True,winter_wheat,soybeans,0.588224677733,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
Alabama,2018,relative_yield,-1,-1,True,3,0,1,True,True,True,winter_wheat,soybeans,0.618777782512,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
Alabama,2019,relative_yield,-0.333333333333,-0.5,True,2,0,0.666666666667,True,True,True,winter_wheat,corn,0.465671641791,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
Alabama,2020,relative_yield,-0.333333333333,-0.5,True,2,0,0.666666666667,True,True,True,winter_wheat,corn,0.492718007029,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
Alabama,2021,relative_yield,-0.333333333333,-0.5,True,2,0,0.666666666667,True,True,True,winter_wheat,corn,0.732482499381,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
Alabama,2022,relative_yield,-0.333333333333,-0.5,True,2,0,0.666666666667,True,True,True,winter_wheat,soybeans,0.705301990391,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
Alabama,2023,relative_yield,-1,-1,True,3,0,1,True,True,True,winter_wheat,soybeans,0.55722753913,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
Alabama,2024,relative_yield,-1,-1,True,3,0,1,True,True,True,winter_wheat,soybeans,0.748656121323,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
Arkansas,2016,relative_yield,-0.333333333333,-0.5,True,2,0,0.666666666667,True,True,True,corn,soybeans,0.00288958073116,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
